,vinculo,inep,cep,distrito,bairro,logradouro,numero,complemento,fone,email,cel1,cel2,sigla,possui_internet_escola,tipo_internet_escola,status_escola,possui_lab,possui_analista,tipo_sala,pregao1,pregao2,pregao3,pregao4,possui_internet_lab,tipo_internet_lab,lab_montado,qt_computadores_lab,qt_monitores_lab,qt_projetores,qt_tablets,status_lab,ar_condicionado_lab,impressora_lab,qt_notebook_lab,roteador_lab,switch_lab,qt_cadeiras_lab,162,pessoa_id,user_id,created_at,updated_at
,Liberado,29026024,48.920-000,ITAMOTINGA,ITAMOTINGA,POVOADO CONCHAS - MANIÇOBA,,,(74) 3612-8986,amiltongomes2016@hotmail.com,(74) 98813-3633,,EMDER,SIM,OUTRO,ATIVO,SIM,NÃO,SALA PRÓPRIA,69.2008,,,,,,,0,0,,,,,,,,,0,40,1,12,,
,Liberado,29025478,48.900-110,SEDE,PIRANGA,RUA LAFAIETE COUTINHO,,,(74) 3613-0580,escoladrjosedearaujo@hotmail.com,(74) 98802-1909,,EMDJAS,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,NÃO,NENHUMA,SIM,1,5,,,INATIVO,NÃO,NÃO,,NÃO,NÃO POSSUI,5,41,1,12,,
,Liberado,29026911,48.915-000,JUREMAL,JUREMAL,POVOADO DE PINHÕES,,,(74) 3617-5004,escoladurvalbarbosa@gmail.com,,,EMDBC,NÃO,NENHUMA,ATIVO,SIM,NÃO,NÃO POSSUI,68.2009,,,,,,,0,0,,,,,,,,,0,42,1,12,,
,Liberado,29025664,48.900-010,ABÓBORA,DISTRITO DE ABOBORA,RUA JOAO BARROS DE NERES,,,(74) 3617-9072,emmsbonfim@hotmail.com,(74) 99912-855,,EMEIA,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,43,1,12,,
,Liberado,29461375,48.901-080,SEDE,PIRANGA II,LOTEAMENTO PIRANGA II,,,,cleiabarreto02@outlook.com,(74) 98818-3453,,EMEIAFL,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,44,1,12,,
,Liberado,29025842,48.922-000,CARNAÍBA,Caranaíba do Sertão,CARANAÍBA DO SERTÃO,,,,não possui,(74) 98822 3271,,EMABSM,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,45,1,12,,
,Liberado,29402140,48.908-330,SEDE,JOAO PAULO II,QUADRA TRINTA E TRES,,,,não possui,,,EMEIAD,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,46,1,12,,
,Liberado,29401220,48.907-660,SEDE,ITABERABA,RUA 02 A C19,,,,não possui,,,EMEIAMMC,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,47,1,12,,
,Liberado,29415870,48.900-000,SEDE,SEDE,SEDE,,,,não possui,,,EMEIAL,NÃO,NENHUMA,INATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,48,1,12,,
,Liberado,29402120,48.904-610,SEDE,ALTO DA MARAVILHA,RUA QUATRO,,,(74) 3612-4696,centroannahilda@gmail.com,(74) 98821-8119,,EMEIAHLF,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,49,1,12,,
,Liberado,29461340,48.908-465,SEDE,ANTONIO GUILHERMINO,RUA ESPERANCA,,,,não possui,(74) 99116-3545,(74) 88165-400,EMEIAG,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,50,1,12,,
,Liberado,29464064,48.908-600,SEDE,PEDRO RAIMUNDO,AVENIDA EDESIO SANTOS,,,,jane.silvabarbosa@hotmail.com,(74) 98833-3869,,EMEIAAV,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,51,1,12,,
,Liberado,29402170,48.920-000,ITAMOTINGA,ITAMOTINGA,RUA FELIPE BARROSO,,,(74) 3617-3036,sueni-santos@yahoo.com.br,,,EMEIBJN,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,52,1,12,,
,Liberado,29932777,48.909-810,SEDE,MALHADA DA AREIA,AV. TANCREDO NEVES,,,,não possui,,,EMEICMA,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,53,1,12,,
,Liberado,29402190,48.901-300,SEDE,QUIDE,AVENIDA NOSSA SENHORA DE NAZARE,,,(74) 3613-7010,jammys.guerra@gmail.com,,,EMEIDCO,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,54,1,12,,
,Liberado,29461189,48.900-290,SEDE,JOAO XXIII,RUA DA LAGOA,,,,rosalilas_bispo@hotmail.com,(74) 98851-1345,,EMEIESC,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,55,1,12,,
,Liberado,29402100,48.907-620,SEDE,ALTO DA ALIANÇA,AVENIDA IRMÃ DULCE,,,(74) 3613-3763,não possui,,,EMEIGDN,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,56,1,12,,
,Liberado,29402110,48.901-665,SEDE,PALMARES,RUA AURENILDES GONCALVES DA CUNHA,,,,não possui,(74) 98803-9933,,EMEIPHHBF,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,57,1,12,,
,Liberado,29402210,48.900-010,SEDE,TABULEIRO,RUA DAS ALGAROBAS,,,(74) 3612-3370,não possui,,,EMEIJBC,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,58,1,12,,
,Liberado,29461367,48.901-080,SEDE,PIRANGA I,PIRANGA I,,,,não possui,,,EMEILLAS,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,59,1,12,,
,Liberado,29467152,48.920-000,SEDE,ITABERABA,RUA PROJETADA,,,,emeiluanadasilva@gmail.com,(74) 98130-0440,,EMEILSN,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,60,1,12,,
,Liberado,29461219,48.900-515,SEDE,PADRE VICENTE,RUA DA SAUDADE,,,,não possui,(74) 98842-1586,,EMEILO,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,61,1,12,,
,Liberado,29461227,48.920-000,ITAMOTINGA,PROJETO MANICOBA,"AV. JORGE KHOURY, VILA SANTA INES",,,,não possui,(74) 98862-2537,,EMEIMAM,SIM,VELOX,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,62,1,12,,
,Liberado,29461243,48.908-390,SEDE,PARQUE RESIDENCIAL,LOTEAMENTO PARQUE RESIDENCIAL JUAZEIRO - QUADRA B,,,,marlucewc1@gmail.com,(74) 98834-2914,,EMEIMHSP,SIM,VELOX,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,63,1,12,,
,Liberado,29461235,48.900-100,SEDE,JARDIM FLORIDA,TRAVESSA EDESIO SANTOS,,,(74) 3612-4696,claudiana.prof@gmail.com,(74) 98847-4782,,EMEIMHN,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,SIM,VELOX,SIM,0,28,,,ATIVO,SIM,SIM,,SIM,24 PORTAS,28,64,1,12,,
,Liberado,29461170,48.907-218,SEDE,DOM TOMAZ,AVENIDA DAS NACOES,,,,não possui,(74) 98819-0929,,EMEIMJRT,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,65,1,12,,
,Liberado,29025338,48.906-130,SEDE,TABULEIRO,RUA 9,30,,,trpaquino@hotmail.com,(74) 98841-9813,,EMEIPMSMA,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,NÃO,NENHUMA,SIM,1,5,,,ATIVO,SIM,NÃO,,,,0,66,1,12,,
,Liberado,29402160,48.902-260,SEDE,NOSSA SENHORA DA PENHA,RUA GASPAR DE LEMOS,,,,não possui,,,EMEIMVT,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,SIM,VELOX,SIM,0,17,,,ATIVO,SIM,SIM,,,,0,67,1,12,,
,Liberado,29402150,48.905-610,SEDE,JARDIM NOVO ENCONTRO,RUA ELIETE COSTA,,,,emeinailde@hotmail.com,,,EMEINSC,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,SIM,VELOX,SIM,0,16,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,16,68,1,12,,
,Liberado,29402200,48.900-000,ITAMOTINGA,ITAMOTINGA,ITAMOTINGA,,,,não possui,,,EMEINR,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,NÃO,NENHUMA,SIM,0,15,,,ATIVO,SIM,SIM,,,,15,69,1,12,,
,Liberado,29461197,48.908-020,SEDE,JOAO PAULO II,QUADRA DOIS,,,,não possui,,,EMEINSC,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,NÃO,NENHUMA,SIM,0,17,,,ATIVO,SIM,SIM,,,,17,70,1,12,,
,Liberado,29445256,48.900-040,SEDE,PIRANGA,RUA SANTA CLARA,800,,,não possui,,,EMEINSA,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,NÃO,NENHUMA,SIM,0,5,,,ATIVO,SIM,SIM,,,,5,71,1,12,,
,Liberado,29401610,48.900-120,SEDE,PIRANGA,RUA IMACULADA CONCEIÇÃO,,Em frente a um posto de saúde,(74) 3611-0013,teste,,,EMEJXXIII,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,7,,,ATIVO,SIM,NÃO,,SIM,,7,72,1,12,,
,Liberado,,48.910-000,JUNCO,JUNCO,ASSENTAMENTO SÃO FRANCISCO,,PREDIO,(74) 3538-1876,nao possui,(74) 98816-4850,,EMPF,SIM,VELOX,ATIVO,NÃO,NÃO,,,,,,SIM,VELOX,SIM,0,15,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,15,73,1,12,,
,Liberado,29024587,48.904-690,SEDE,SANTA MARIA GORETTI,RUA DO JAPAO,,PREDIO,(74) 3611-5675,paulovi_2511@hotmail.com,(74) 98806-1028,,EMPVI,SIM,OUTRO,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,21,,,ATIVO,SIM,SIM,,SIM,,21,74,1,12,,
,Liberado,29025834,48.922-000,CARNAÍBA,CARNAIBA,RUA DO COMERCIO,,CASA,(74) 3618-1063,escolagraciosaxavier@gmail.com,,,EMPD,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,NÃO,OUTRO,SIM,0,15,,,ATIVO,SIM,NÃO,,NÃO,NÃO POSSUI,15,75,1,12,,
,Liberado,29026431,48.920-000,ITAMOTINGA,ITAMOTINGA,PONTAL,,,(74) 3621-5598,nao possui,,,EMP,NÃO,NENHUMA,ATIVO,SIM,SIM,SALA PRÓPRIA,38.2006,69.2008,68.2009,,SIM,GSAT,SIM,0,16,,,ATIVO,SIM,SIM,,SIM,,16,76,1,12,,
,Liberado,29025362,48.905-740,SEDE,SAO GERALDO,RUA AGOSTINHO MUNIZ,,,(74) 3611-0019,aprigio_duarte@hotmail.com,,,EMPAD,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,15,,,ATIVO,SIM,SIM,,SIM,,15,77,1,12,,
,Liberado,29401600,48.909-755,SEDE,DOM JOSÉ RODRIGUES,RUA A,,,(74) 3611-0037,não possui,,,EMPTN,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,10,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,10,78,1,12,,
,Liberado,29026873,48.915-000,JUREMAL,JUREMAL,JUREMAL,,,(74) 3617-6001,não possui,,,EMAFC,NÃO,NENHUMA,ATIVO,SIM,NÃO,SALA PRÓPRIA,,,,,SIM,VELOX,SIM,0,7,,,ATIVO,SIM,SIM,,SIM,8 PORTAS,7,79,1,12,,
,Liberado,29026989,48.918-000,MASSAROCA,CENTRO,RUA DOS BUTINS,,,(74) 3617-6003,não possui,,,EMPALA,NÃO,NENHUMA,ATIVO,SIM,SIM,SALA PRÓPRIA,,,,,SIM,VELOX,SIM,0,17,,,ATIVO,NÃO,SIM,,SIM,,17,80,1,12,,
,Liberado,29026695,48.910-000,JUNCO,JUNCO,FAZENDA GANGORRA,,,(74) 3617-5019,não possui,(74) 99805-6139,,EMPBB,NÃO,NENHUMA,ATIVO,SIM,NÃO,SALA PRÓPRIA,,,,,SIM,VELOX,SIM,0,17,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,17,81,1,12,,
,Liberado,29024692,48.900-010,SEDE,ALTO DA ALIANÇA,RUA DO CURRAL,,,(74) 3613-3765,não possui,,,EMCCS,SIM,VELOX,ATIVO,SIM,NÃO,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,17,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,17,82,1,12,,
,Liberado,29024900,48.904-450,SEDE,COREA,RUA ARGENTINA,,,(74) 3611-5499,e.crenildesbrandao@gmail.com,,,EMCLB,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,10,,,ATIVO,SIM,SIM,,SIM,,10,83,1,12,,
,Liberado,29026670,48.907-690,SEDE,ITABERABA,RUA PETRONILIO B. DOS SANTOS,,,(74) 3611-8002,escoladinorah@msn.com,,,EMDAMS,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,45.2007,,,SIM,OUTRO,SIM,0,8,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,8,84,1,12,,
,Liberado,29026709,48.910-000,JUNCO,JUNCO,CAMPO DOS CAVALOS,,,,não possui,,,EMED,SIM,OUTRO,ATIVO,SIM,NÃO,SALA PRÓPRIA,38.2006,68.2009,,,NÃO,NENHUMA,SIM,1,5,,,INATIVO,NÃO,NÃO,,NÃO,NÃO POSSUI,5,85,1,12,,
,Liberado,29025753,48.922-000,CARNAÍBA,CARNAIBA,RUA DA IGREJA,,,(74) 3618-1029,escolagraciosaxavier@gmail.com,,,EMPGXRG,SIM,GSAT,ATIVO,SIM,NÃO,SALA PRÓPRIA,68.2009,45.2007,,,,,,0,0,,,,,,,,,0,86,1,12,,
,Liberado,29024838,48.901-260,SEDE,QUIDE,RUA DAS ALGAROBAS,,,(74) 3611-9401,escolaguiomarlustosa@hotmail.com,,,EMPGLR,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,45.2007,,,,NÃO,NENHUMA,SIM,0,23,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,23,87,1,12,,
,Liberado,29024960,48.908-270,SEDE,JOAO PAULO II,QUADRA VINTE E SETE,,,(74) 3611-0027,escolahaydee@gmail.com,(74) 99985-8835,,EMPHFF,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,NÃO,NENHUMA,SIM,1,5,,,INATIVO,NÃO,NÃO,,NÃO,NÃO POSSUI,5,88,1,12,,
,Liberado,29450004,48.905-680,SEDE,SAO GERALDO,RUA EDGARD CHASTINET,,,,emti.juaba@outlook.com,(74) 98809-0992,,EMTIIP,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,SEM PREGÃO,,,,SIM,VELOX,SIM,0,16,,,ATIVO,SIM,SIM,,SIM,16 PORTAS,16,89,1,12,,
,Liberado,29341809,48.920-000,ITAMOTINGA,DISTRITO DE ITAMOTINGA,RUA FELIPE BARROSO,,,(74) 3617-3030,colegioiracynunes@gmail.com,,,EMPINS,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,45.2007,,,,,,,0,0,,,,,,,,,0,90,1,12,,
,Liberado,29024978,48.901-100,SEDE,QUIDE,RUA ARNALDO VIEIRA,,,(74) 3611-8169,empll,,,EMPLL,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,,,,0,0,,,,,,,,,0,91,1,12,,
,Liberado,29024943,48.905-288,SEDE,JARDIM UNIVERSITARIO,TRAVESSA BEIJA-FLOR,151,,(74) 3613-1375,escolamarialourdesduarte@hotmail.com,,,EMPMLD,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,,,,0,0,,,,,,,,,0,92,1,12,,
,Liberado,29024986,48.900-310,SEDE,JOÃO XXIII,RUA ALLAN KARINE,,,(74) 3613-7115,profmariafrancapires@hotmail.com,,,EMPMFP,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,,,,0,0,,,,,,,,,0,93,1,12,,
,Liberado,293625,48.908-090,SEDE,JOAO PAULO II,QUADRA NOVE,,,(74) 3612-0485,wilzamiranda@hotmail.com,,,EMPMJLR,SIM,VELOX,ATIVO,SIM,NÃO,SALA PRÓPRIA,38.2006,,,,,,,0,0,,,,,,,,,0,94,1,12,,
,Liberado,29025770,48.922-000,CARNAÍBA,CARNAIBA DO SERTAO,CARNAIBA DE DENTRO,,,(74) 9885-2653,escola_matildecosta@hotmail.com,,,EMPMCM,SIM,OUTRO,ATIVO,SIM,SIM,SALA PRÓPRIA,68.2009,,,,,,,0,0,,,,,,,,,0,95,1,12,,
,Liberado,29024714,48.907-340,SEDE,Tancredo Neves,CAMINHO DOZE,,Rua C,(74) 3611 0015,lucysoares1@hotmail.com,,,EMLCFC,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,,,,0,0,,,,,,,,,0,96,1,12,,
,Liberado,29026725,48.910-000,JUNCO,JUNCO,MANGA,,SALITRE,,nao possui,(74) 98811-1398,,EMPOT,NÃO,NENHUMA,ATIVO,SIM,NÃO,SALA DE AULA,68.2009,,,,NÃO,NENHUMA,SIM,0,5,,,ATIVO,NÃO,SIM,,NÃO,NÃO POSSUI,5,97,1,12,,
,Liberado,29025397,48.906-000,SEDE,TABULEIRO,RUA DA CRECHE,,CASA,(74) 3611-0052,escolaterezinha.etfo@hotmail.com,(74) 98816-4915,,EMTFO,SIM,GSAT,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,GSAT,SIM,0,31,,,ATIVO,,SIM,,SIM,NÃO POSSUI,31,98,1,12,,
,Liberado,29415160,48.902-380,SEDE,COUNTRY CLUB,RUA ALMIRANTE TAMANDARE,,,(74) 3611-0021,escolacarloscosta_2012@hotmail.com,,,EMPCCS,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,19,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,19,99,1,12,,
,Liberado,29025524,48.900-420,SEDE,ALTO DO CRUZEIRO,RUA RODOVIA LOMANTO JUNIOR,,,(74) 3611-3992,escolapromenor@hotmail.com,(74) 98813-5592,,EMFJPM,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,15,,,ATIVO,SIM,SIM,,SIM,,15,100,1,12,,
,Liberado,29027055,48.900-010,PINHÕES,PINHÕES,RUA PRINCIPAL,,,(74) 3617-4003,escola_raimundoclementino@hotmail.com,,,EMRCS,NÃO,NENHUMA,ATIVO,SIM,NÃO,,,,,,NÃO,NENHUMA,,0,12,,,ATIVO,,,,,,12,101,1,12,,
,Liberado,29424445,48.901-330,SEDE,QUIDEZINHO,RUA SAO VICENTE,,,(74) 3611-5726,italoklayner@hotmail.com,(74) 98863-8441,,EMRMP,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,,,,,SIM,VELOX,SIM,0,10,,,ATIVO,SIM,,,SIM,,10,102,1,12,,
